LinkingId,CategoryID,ProductID,DisplayOrder
1934806,262,1244,
1934807,262,1229,
1934808,262,1228,
1934809,262,858,
1934810,262,1245,
1934811,262,2602,
1934812,262,2808,
1934813,262,1201,
1934814,262,1203,
1934815,262,1204,
1934816,262,1205,
1934817,262,1194,
1934818,262,1202,
1934819,262,1212,
1934820,262,1213,
1934821,262,1211,
1934822,262,3743,
1934823,262,1215,
1934824,262,2725,
1934825,262,1214,
1934826,262,1218,
1934827,262,3868,
1934828,262,3998,
1934829,262,1216,
1934830,262,1219,
1934831,262,1220,
1934832,262,1221,
1934833,262,1222,
1934834,262,4044,
1934835,262,4035,
1934836,262,3952,
1934837,262,1755,
1934838,262,1182,
1934839,262,1181,
1934840,262,2840,
1934841,262,1186,
1934842,262,3895,
1934843,262,1183,
1934844,262,1184,
1934845,262,1185,
1934846,262,1199,
1934847,262,3669,
1934848,262,3184,
1934849,262,1200,
1934850,262,4031,
1934851,262,4032,
1934852,262,4033,
1934853,262,3907,
1934854,262,1209,
1934855,262,1208,
1934856,262,3363,
1934857,262,1225,
1934858,262,1226,
1934859,262,3368,
1934860,262,3367,
1934861,262,3365,
1934862,262,3369,
1934863,262,3880,
1934864,262,3882,
1934865,262,3881,
1934874,248,3978,
1934875,248,4011,
1934876,248,3994,
1934877,248,3698,
1934878,248,3566,
1934879,248,3215,
1934880,248,1079,
1934881,248,3987,
1934882,248,1040,
1934883,248,1041,
1934884,248,1039,
1934885,248,1098,
1934886,248,1042,
1934887,248,1044,
1934889,248,2314,
1934890,248,1729,
1934891,248,1730,
